NAME_NAC,NAC,Edad..grandes.grupos.de.edad.,Total,Hombres,Mujeres,porc_total
UE27_2020,Unión Europea,65+,144150,71600,72550,37.54287545
EU_NO_UE27,Resto Europa,65+,126288,62773,63515,32.89084048
AF,África,65+,29770,15314,14456,7.753391621
AN,América del Norte,65+,7149,3598,3551,1.86190785
SUD,Sudamérica,65+,54085,17097,36988,14.08606603
AS,Asia,65+,12413,5942,6471,3.232880423
OT_2,Otros,65+,10106,3000,7106,2.63203815
UE27_2020,Unión Europea,Todas las edades,1591984,793642,798342,29.26361562
EU_NO_UE27,Resto Europa,Todas las edades,572085,265285,306800,10.51598229
AF,África,Todas las edades,1198573,714386,484187,22.03199251
AN,América del Norte,Todas las edades,72551,31188,41363,1.333621806
SUD,Sudamérica,Todas las edades,1137165,505985,631180,20.90319969
AS,Asia,Todas las edades,496639,274279,222360,9.129145016
OT_2,Otros,Todas las edades,371151,140387,230764,6.822443066