"Edad","Ambos sexos","Hombres","Mujeres","porc_total_grupo","porc_total_hombres","porc_total_mujeres","Españoles.Extranjeros"
"0 años",322549,165066,157483,0.680696996210223,0.348349957297764,0.332347038912458,"Nacional"
"1 año",358635,184358,174277,0.756851725585425,0.389063171261806,0.367788554323619,"Nacional"
"2 años",375755,192706,183049,0.792981220871781,0.406680520949335,0.386300699922446,"Nacional"
"3 años",403954,207975,195979,0.852491480076219,0.438903725594626,0.413587754481593,"Nacional"
"4 años",426796,219278,207518,0.900696499429663,0.46275721188094,0.437939287548723,"Nacional"
"5 años",438463,225105,213358,0.925318159564354,0.475054324558136,0.450263835006218,"Nacional"
"6 años",446016,229827,216189,0.941257766918201,0.485019480909899,0.456238286008302,"Nacional"
"7 años",441990,226994,214996,0.932761426496304,0.479040809172384,0.45372061732392,"Nacional"
"8 años",468286,241025,227261,0.988255655938479,0.508651378586103,0.479604277352376,"Nacional"
"9 años",481023,247622,233401,1.01513540952857,0.522573474404099,0.492561935124469,"Nacional"
"10 años",492427,253127,239300,1.03920204295413,0.534191048676961,0.505010994277168,"Nacional"
"11 años",501019,258406,242613,1.0573343223642,0.545331679846159,0.512002642518039,"Nacional"
"12 años",524132,269870,254262,1.10611125136849,0.56952493533464,0.536586316033854,"Nacional"
"13 años",505208,259774,245434,1.06617465272369,0.548218662880723,0.517955989842969,"Nacional"
"14 años",503354,258644,244710,1.06226203097948,0.545833947362407,0.516428083617074,"Nacional"
"15 años",493766,252967,240799,1.04202782532495,0.533853389842509,0.50817443548244,"Nacional"
"16 años",490320,252458,237862,1.03475549817794,0.532779212675409,0.501976285502531,"Nacional"
"17 años",484141,248888,235253,1.02171553606495,0.5252451999317,0.49647033613325,"Nacional"
"18 años",472978,244855,228123,0.998157501258782,0.516734086935796,0.481423414322985,"Nacional"
"19 años",476713,246333,230380,1.00603972467552,0.519853210419046,0.486186514256473,"Nacional"
"20 años",483323,250219,233104,1.01998925527381,0.528054099360797,0.491935155913017,"Nacional"
"21 años",476270,244541,231729,1.00510483177763,0.516071431473184,0.489033400304446,"Nacional"
"22 años",466963,240376,226587,0.985463639451104,0.507281749938857,0.478181889512247,"Nacional"
"23 años",478424,244271,234153,1.00965056383644,0.515501632190047,0.494148931646393,"Nacional"
"24 años",477468,242842,234626,1.00763305230059,0.512485916724848,0.495147135575741,"Nacional"
"25 años",483972,246257,237715,1.02135888392106,0.519692822472681,0.501666061448379,"Nacional"
"26 años",494211,251070,243141,1.04296693895827,0.529850022286538,0.51311691667173,"Nacional"
"27 años",513259,260396,252863,1.08316522319977,0.549531311599655,0.533633911600115,"Nacional"
"28 años",529069,267593,261476,1.11653013677905,0.564719628046846,0.551810508732206,"Nacional"
"29 años",528225,267573,260652,1.11474898642732,0.56467742069254,0.550071565734778,"Nacional"
"30 años",537072,270724,266348,1.13341940960479,0.571327189363527,0.562092220241267,"Nacional"
"31 años",546807,274834,271973,1.15396383931348,0.580000800673511,0.573963038639968,"Nacional"
"32 años",557792,279711,278081,1.17714622866632,0.590293064021149,0.58685316464517,"Nacional"
"33 años",565278,283061,282217,1.19294444138324,0.597362795867486,0.595581645515752,"Nacional"
"34 años",579365,288940,290425,1.22267319138902,0.609769647665879,0.612903543723136,"Nacional"
"35 años",598850,298902,299948,1.26379370632211,0.630793130845943,0.633000575476172,"Nacional"
"36 años",621907,310662,311245,1.31245245473435,0.65561105517816,0.656841399556194,"Nacional"
"37 años",642657,321367,321290,1.35624258482734,0.678202541570709,0.678040043256629,"Nacional"
"38 años",679037,340348,338689,1.43301776231085,0.718259431175285,0.714758331135561,"Nacional"
"39 años",708087,356110,351977,1.49432394444102,0.75152304710423,0.742800897336794,"Nacional"
"40 años",742304,374035,368269,1.56653439655629,0.789351388401423,0.777183008154862,"Nacional"
"41 años",762713,384232,378481,1.60960489125834,0.810870807994588,0.798734083263756,"Nacional"
"42 años",795506,402128,393378,1.67881017974698,0.848637948628036,0.830172231118946,"Nacional"
"43 años",804793,408481,396312,1.6984091647192,0.862045114723493,0.836364049995709,"Nacional"
"44 años",818391,414169,404222,1.72710594491219,0.874048886288259,0.853057058623926,"Nacional"
"45 años",811385,411571,399814,1.71232070869862,0.868566150963846,0.843754557734775,"Nacional"
"46 años",805159,407252,397907,1.69918155930301,0.859451472801359,0.839730086501651,"Nacional"
"47 años",783953,396837,387116,1.65442910153184,0.837471993046254,0.816957108485584,"Nacional"
"48 años",779548,393574,385974,1.64513293174583,0.83058586319115,0.814547068554683,"Nacional"
"49 años",765800,385906,379894,1.61611959639555,0.814403563550041,0.80171603284551,"Nacional"
"50 años",754611,379387,375224,1.59250669202878,0.80064607641384,0.791860615614944,"Nacional"
"51 años",744844,372948,371896,1.57189473055321,0.787057418694865,0.784837311858344,"Nacional"
"52 años",737811,368186,369625,1.55705251441133,0.77700784763449,0.780044666776842,"Nacional"
"53 años",740743,368213,372530,1.56324011255266,0.777064827562804,0.78617528498986,"Nacional"
"54 años",721266,358309,362957,1.52213648056129,0.756163745710229,0.765972734851058,"Nacional"
"55 años",714012,352772,361240,1.50682787315432,0.744478639670477,0.762349233483845,"Nacional"
"56 años",721469,355618,365851,1.5225648852075,0.750484746188291,0.772080139019207,"Nacional"
"57 años",684645,337034,347611,1.44485270445839,0.711265672566699,0.733587031891687,"Nacional"
"58 años",659969,323397,336572,1.39277727071504,0.682486588032818,0.710290682682219,"Nacional"
"59 años",642560,313940,328620,1.35603787915895,0.662528840548994,0.693509038609958,"Nacional"
"60 años",642731,313216,329515,1.35639875203827,0.661000934323099,0.695397817715174,"Nacional"
"61 años",622842,302926,319916,1.31442564854818,0.639285250532409,0.675140398015773,"Nacional"
"62 años",606065,293835,312230,1.27902000938818,0.620099897632393,0.658920111755789,"Nacional"
"63 años",588988,284134,304854,1.24298125991358,0.59962722042603,0.643354039487555,"Nacional"
"64 años",546610,262733,283877,1.15354809687356,0.554463240950369,0.599084855923191,"Nacional"
"65 años",528212,253051,275161,1.11472155164702,0.534030660730596,0.580690890916422,"Nacional"
"66 años",501188,238463,262725,1.05769097450809,0.503244616499442,0.554446358008646,"Nacional"
"67 años",499305,237836,261469,1.05371715210013,0.501921415941933,0.551795736158198,"Nacional"
"68 años",493115,234665,258450,1.04065397594227,0.495229439916639,0.545424536025634,"Nacional"
"69 años",459052,216572,242480,0.968768520455172,0.457046556843271,0.5117219636119,"Nacional"
"70 años",443863,208146,235717,0.936714145227107,0.439264598473947,0.49744954675316,"Nacional"
"71 años",456527,212031,244496,0.963439841973977,0.447463377047983,0.515976464925995,"Nacional"
"72 años",471768,217917,253851,0.995603956323239,0.459885001420383,0.535718954902856,"Nacional"
"73 años",426059,195470,230589,0.899141158423468,0.412513577314493,0.486627581108976,"Nacional"
"74 años",401776,182249,219527,0.847895099192242,0.384612405750186,0.463282693442056,"Nacional"
"75 años",412897,185685,227212,0.871364498554366,0.391863629220042,0.479500869334325,"Nacional"
"76 años",385647,172241,213406,0.813856978311772,0.363491845655218,0.450365132656554,"Nacional"
"77 años",372681,164742,207939,0.786493950514874,0.347666198157999,0.438827752356874,"Nacional"
"78 años",313751,137658,176093,0.662129981050797,0.290508998956149,0.371620982094648,"Nacional"
"79 años",282170,122184,159986,0.595482458233132,0.257853168929217,0.337629289303916,"Nacional"
"80 años",335935,142522,193413,0.708946378447557,0.300773827523488,0.40817255092407,"Nacional"
"81 años",214227,87950,126277,0.452097744550835,0.185606840562795,0.26649090398804,"Nacional"
"82 años",234046,95015,139031,0.493923122300853,0.200516588471563,0.293406533829289,"Nacional"
"83 años",250823,99963,150860,0.529328761460853,0.210958687926989,0.318370073533864,"Nacional"
"84 años",259222,99973,159249,0.547053739901864,0.210979791604143,0.336073948297721,"Nacional"
"85 años",236367,90172,146195,0.498821285768121,0.190296077626247,0.308525208141875,"Nacional"
"86 años",217757,80832,136925,0.459547342585931,0.170585243165115,0.288962099420816,"Nacional"
"87 años",202864,73337,129527,0.428117636201602,0.154768037138758,0.273349599062845,"Nacional"
"88 años",181838,63957,117881,0.383745044619188,0.134972787969013,0.248772256650175,"Nacional"
"89 años",152273,52278,99995,0.321352023115617,0.110325803421738,0.21102621969388,"Nacional"
"90 años",132669,43017,89652,0.279980374424395,0.0907816880101168,0.189198686414278,"Nacional"
"91 años",106936,33541,73395,0.225674282005948,0.0707838435397012,0.154890438466246,"Nacional"
"92 años",87647,26407,61240,0.184967399145052,0.0557284802585758,0.129238918886476,"Nacional"
"93 años",66585,19112,47473,0.140518834324886,0.0403333477752831,0.100185486549603,"Nacional"
"94 años",52909,14443,38466,0.111657445450107,0.0304800409124327,0.0811774045376747,"Nacional"
"95 años",39000,10076,28924,0.082304340897658,0.0212640650996103,0.0610402757980477,"Nacional"
"96 años",29095,7251,21844,0.0614011486773682,0.0153022763038184,0.0460988723735498,"Nacional"
"97 años",20612,5001,15611,0.0434988993482699,0.0105539489443381,0.0329449504039318,"Nacional"
"98 años",14568,3229,11339,0.0307438368768483,0.00681437735278302,0.0239294595240652,"Nacional"
"99 años",9424,2075,7349,0.0198881053492187,0.00437901300929847,0.0155090923399202,"Nacional"
"100 años y más",18020,3984,14036,0.0380288262301486,0.00840770497785306,0.0296211212522956,"Nacional"
"0 años",271384,138746,132638,0.647000274812523,0.330781107689246,0.316219167123277,"Españoles"
"1 año",303210,155877,147333,0.722875900295909,0.371622725867964,0.351253174427945,"Españoles"
"2 años",323537,166055,157482,0.771337027650927,0.395887858657819,0.375449168993108,"Españoles"
"3 años",349769,180166,169603,0.833876127999076,0.429529565161811,0.404346562837265,"Españoles"
"4 años",369979,190094,179885,0.882058318378616,0.453198678773294,0.428859639605322,"Españoles"
"5 años",381822,196107,185715,0.910292938896424,0.467534132051482,0.442758806844942,"Españoles"
"6 años",390017,200824,189193,0.929830447563437,0.478779821908993,0.451050625654444,"Españoles"
"7 años",389159,199843,189316,0.927784909743266,0.476441042653063,0.451343867090203,"Españoles"
"8 años",416002,214209,201793,0.991780680963355,0.510690688718995,0.48108999224436,"Españoles"
"9 años",430374,221542,208832,1.02604463148957,0.528173123258983,0.497871508230584,"Españoles"
"10 años",441593,226977,214616,1.05279158813816,0.541130580196777,0.511661007941383,"Españoles"
"11 años",451105,232641,218464,1.07546892583683,0.554633990701958,0.520834935134875,"Españoles"
"12 años",475577,244875,230702,1.13381205116925,0.583800785214738,0.55001126595451,"Españoles"
"13 años",461182,237052,224130,1.09949326687863,0.565150153085142,0.534343113793483,"Españoles"
"14 años",460377,236478,223899,1.09757408512427,0.563781693051601,0.533792392072668,"Españoles"
"15 años",451267,230883,220384,1.07585514626442,0.55044278383965,0.525412362424767,"Españoles"
"16 años",446170,229143,217027,1.06370350725578,0.546294490358186,0.517409016897597,"Españoles"
"17 años",438327,223986,214341,1.04500519359192,0.533999806746742,0.511005386845175,"Españoles"
"18 años",422894,216815,206079,1.0082117376727,0.516903592634338,0.491308145038359,"Españoles"
"19 años",419679,214739,204940,1.00054693103884,0.511954249377142,0.488592681661699,"Españoles"
"20 años",419950,216383,203567,1.0011930158282,0.515873671494112,0.485319344334083,"Españoles"
"21 años",407737,209116,198621,0.972076286926398,0.498548586017214,0.473527700909184,"Españoles"
"22 años",393172,202816,190356,0.937352209594483,0.483528902722256,0.453823306872227,"Españoles"
"23 años",397327,203788,193539,0.947258048339015,0.485846225287763,0.461411823051252,"Españoles"
"24 años",391035,200199,190836,0.932257437657765,0.477289773963064,0.4549676636947,"Españoles"
"25 años",390373,200361,190012,0.930679178873437,0.477675994390649,0.453003184482789,"Españoles"
"26 años",394309,202233,192076,0.940062904817716,0.482138985998294,0.457923918819422,"Españoles"
"27 años",408691,209567,199124,0.974350696111063,0.499623804614996,0.474726891496067,"Españoles"
"28 años",419879,214540,205339,1.00102374638154,0.511479818111159,0.489543928270379,"Españoles"
"29 años",417246,213841,203405,0.994746472394931,0.509813348488432,0.484933123906499,"Españoles"
"30 años",420352,214716,205636,1.00215141466702,0.511899415612732,0.490251999054284,"Españoles"
"31 años",427442,218044,209398,1.01905451856563,0.519833622915211,0.499220895650417,"Españoles"
"32 años",435173,221490,213683,1.03748581563758,0.528049151269882,0.509436664367702,"Españoles"
"33 años",441898,224364,217534,1.05351873153577,0.534900987744439,0.518617743791334,"Españoles"
"34 años",455696,230466,225230,1.08641422202844,0.549448623850127,0.536965598178317,"Españoles"
"35 años",474485,239639,234846,1.13120863939812,0.571317759542929,0.559890879855193,"Españoles"
"36 años",496064,250083,245981,1.18265463079842,0.59621705673857,0.586437574059853,"Españoles"
"37 años",517425,260389,257036,1.23358089347518,0.620787351347751,0.612793542127434,"Españoles"
"38 años",550743,276768,273975,1.31301356141509,0.659836143837928,0.653177417577164,"Españoles"
"39 años",580888,292405,288483,1.38488155394311,0.697115951406699,0.68776560253641,"Españoles"
"40 años",613384,307915,305469,1.46235451082453,0.734092981232858,0.728261529591673,"Españoles"
"41 años",638578,320589,317989,1.52241893954408,0.764308769499572,0.75811017004451,"Españoles"
"42 años",674166,339190,334976,1.6072634616236,0.808654980447114,0.798608481176487,"Españoles"
"43 años",687951,346968,340983,1.640127959119,0.827198329124603,0.812929629994393,"Españoles"
"44 años",706809,355322,351487,1.6850868777819,0.847114905989061,0.837971971792844,"Españoles"
"45 años",705237,355441,349796,1.68133910918831,0.847398611117965,0.83394049807034,"Españoles"
"46 años",703520,353594,349926,1.67724564947125,0.842995221428158,0.834250428043093,"Españoles"
"47 años",690406,347316,343090,1.6459808674506,0.828027987820896,0.817952879629707,"Españoles"
"48 años",688906,345834,343072,1.64240475238038,0.824494786131511,0.817909966248864,"Españoles"
"49 años",680979,341763,339216,1.62350617627258,0.814789209830912,0.808716966441665,"Españoles"
"50 años",671012,335643,335369,1.59974408366927,0.800198660344381,0.799545423324886,"Españoles"
"51 años",666591,332524,334067,1.58920408051895,0.79276272507502,0.796441355443928,"Españoles"
"52 años",661760,329363,332397,1.5776866059161,0.785226658583693,0.792459947332408,"Españoles"
"53 años",670497,332791,337706,1.59851628416182,0.793399273557521,0.805117010604302,"Españoles"
"54 años",658903,326686,332217,1.57087529874567,0.778844485221693,0.79203081352398,"Españoles"
"55 años",654970,323228,331742,1.56149872503153,0.77060034794646,0.790898377085075,"Españoles"
"56 años",664130,327182,336948,1.58333686772706,0.780026987271581,0.80330988045548,"Españoles"
"57 años",631038,310841,320197,1.5044430011244,0.741068789696516,0.763374211427886,"Españoles"
"58 años",609549,298755,310794,1.45321157662831,0.712254838537332,0.740956738090983,"Españoles"
"59 años",596974,291940,305034,1.42323181195624,0.696007355734929,0.727224456221307,"Españoles"
"60 años",597461,291345,306116,1.4243928573157,0.694588830090405,0.729804027225298,"Españoles"
"61 años",581368,283188,298180,1.38602591076558,0.675141916338505,0.710883994427078,"Españoles"
"62 años",566724,275143,291581,1.3511134913733,0.655962019178514,0.695151472194787,"Españoles"
"63 años",552169,266916,285253,1.31641325480852,0.63634822005667,0.680065034751852,"Españoles"
"64 años",511701,246343,265358,1.21993443836719,0.587300609830135,0.63263382853706,"Españoles"
"65 años",495566,237895,257671,1.18146736059511,0.56715992975461,0.614307430840497,"Españoles"
"66 años",470057,223966,246091,1.12065194771081,0.533952125212472,0.586699822498336,"Españoles"
"67 años",470190,224290,245900,1.1209690299137,0.534724566067641,0.586244463846061,"Españoles"
"68 años",465102,221609,243493,1.10883884759549,0.528332856398787,0.580505991196701,"Españoles"
"69 años",433523,204583,228940,1.03355208906033,0.487741566274984,0.545810522785348,"Españoles"
"70 años",418892,196528,222364,0.998670662665328,0.468537828347859,0.530132834317468,"Españoles"
"71 años",433724,201490,232234,1.03403128847974,0.480367617000174,0.553663671479569,"Españoles"
"72 años",449960,207634,242326,1.07273915799989,0.495015384327828,0.577723773672064,"Españoles"
"73 años",404989,185545,219444,0.96552484411774,0.442353513803649,0.523171330314091,"Españoles"
"74 años",382765,173296,209469,0.91254112323724,0.413150958140167,0.499390165097074,"Españoles"
"75 años",397232,178268,218964,0.947031561051234,0.425004587559616,0.522026973491618,"Españoles"
"76 años",370127,164768,205359,0.882411161732212,0.392819551927563,0.489591609804649,"Españoles"
"77 años",358941,158092,200849,0.855742879615164,0.376903455788334,0.47883942382683,"Españoles"
"78 años",301361,131699,169662,0.718467742452675,0.313980519089314,0.404487223363361,"Españoles"
"79 años",271455,117032,154423,0.64716954425918,0.279013265932624,0.368156278326556,"Españoles"
"80 años",325781,137740,188041,0.776686895795988,0.32838272651548,0.448304169280509,"Españoles"
"81 años",205522,83773,121749,0.489980214308947,0.199721258518813,0.290258955790134,"Españoles"
"82 años",226562,91412,135150,0.54014118836068,0.217933220533128,0.322207967827552,"Españoles"
"83 años",244603,97029,147574,0.58315231634867,0.231324579432775,0.351827736915895,"Españoles"
"84 años",253865,97577,156288,0.605233634868972,0.232631053471765,0.372602581397207,"Españoles"
"85 años",232059,88174,143885,0.553246458054709,0.210213580134862,0.343032877919847,"Españoles"
"86 años",214240,79229,135011,0.510764595097113,0.188888013932735,0.321876581164378,"Españoles"
"87 años",199949,72067,127882,0.476693754784693,0.171813256510753,0.30488049827394,"Españoles"
"88 años",179367,62904,116463,0.427624687867736,0.149967961585086,0.277656726282651,"Españoles"
"89 años",150286,51432,98854,0.358293352962867,0.122617833527981,0.235675519434886,"Españoles"
"90 años",130919,42325,88594,0.312120939252796,0.10090604689827,0.211214892354526,"Españoles"
"91 años",105609,33068,72541,0.25177995763448,0.0788366487615353,0.172943308872945,"Españoles"
"92 años",86656,26032,60624,0.206594551683791,0.062062285005452,0.144532266678339,"Españoles"
"93 años",65856,18831,47025,0.157005756043295,0.0448945485916436,0.112111207451651,"Españoles"
"94 años",52342,14243,38099,0.124787343337253,0.0339564046301726,0.0908309387070804,"Españoles"
"95 años",38596,9934,28662,0.0920158248336826,0.023683418071764,0.0683324067619186,"Españoles"
"96 años",28795,7160,21635,0.0686494889648122,0.0170699892685555,0.0515794996962567,"Españoles"
"97 años",20395,4932,15463,0.0486232445715348,0.01175826635091,0.0368649782206248,"Españoles"
"98 años",14409,3180,11229,0.0343521613646112,0.00758136394888358,0.0267707974157276,"Españoles"
"99 años",9322,2051,7271,0.0222243631231109,0.00488974133935856,0.0173346217837524,"Españoles"
"100 años y más",17850,3933,13917,0.0425557693357145,0.00937657371413809,0.0331791956215764,"Españoles"
"0 años",51165,26320,24845,0.940507500898873,0.483810366923841,0.456697133975032,"Extranjeros"
"1 año",55425,28481,26944,1.0188141940256,0.523533550925453,0.495280643100151,"Extranjeros"
"2 años",52218,26651,25567,0.959863591946396,0.489894760216082,0.469968831730313,"Extranjeros"
"3 años",54185,27809,26376,0.996020696495757,0.511180945812504,0.484839750683254,"Extranjeros"
"4 años",56817,29184,27633,1.04440173318814,0.536455993476648,0.507945739711493,"Extranjeros"
"5 años",56641,28998,27643,1.04116652708713,0.533036968847171,0.50812955823996,"Extranjeros"
"6 años",55999,29003,26996,1.02936537755958,0.533128878111404,0.496236499448177,"Extranjeros"
"7 años",52831,27151,25680,0.971131667741392,0.499085686639408,0.472045981101985,"Extranjeros"
"8 años",52284,26816,25468,0.961076794234275,0.49292776593578,0.468149028298495,"Extranjeros"
"9 años",50649,26080,24569,0.931022464830001,0.479398722240645,0.451623742589356,"Extranjeros"
"10 años",50834,26150,24684,0.934423107606631,0.48068545193991,0.453737655666721,"Extranjeros"
"11 años",49914,25765,24149,0.917511802987713,0.47360843859395,0.443903364393763,"Extranjeros"
"12 años",48555,24995,23560,0.892530864969115,0.459454411902029,0.433076453067086,"Extranjeros"
"13 años",44026,22722,21304,0.809279453426635,0.417672460381593,0.391606993045042,"Extranjeros"
"14 años",42977,22166,20811,0.789996889790498,0.407452150198855,0.382544739591643,"Extranjeros"
"15 años",42499,22084,20415,0.781210364129799,0.40594483826543,0.37526552586437,"Extranjeros"
"16 años",44150,23315,20835,0.811558803179619,0.428572899119656,0.382985904059963,"Extranjeros"
"17 años",45814,24902,20912,0.842146206316446,0.457744899587291,0.384401306729155,"Extranjeros"
"18 años",50084,28040,22044,0.920636717971643,0.51542715382008,0.405209564151564,"Extranjeros"
"19 años",57034,31594,25440,1.04839059525586,0.580756258837076,0.467634336418789,"Extranjeros"
"20 años",63373,33836,29537,1.16491316045078,0.621968372919266,0.542944787531516,"Extranjeros"
"21 años",68533,35425,33108,1.2597635211395,0.651177137092594,0.608586384046905,"Extranjeros"
"22 años",73791,37560,36231,1.35641530340719,0.690422392920193,0.665992910486994,"Extranjeros"
"23 años",81097,40483,40614,1.49071312030482,0.744152548790952,0.746560571513863,"Extranjeros"
"24 años",86433,42643,43790,1.58879868709454,0.783857350939717,0.804941336154825,"Extranjeros"
"25 años",93599,45896,47703,1.72052304459364,0.843653518249871,0.876869526343769,"Extranjeros"
"26 años",99902,48837,51065,1.83638386308608,0.89771454747187,0.938669315614208,"Extranjeros"
"27 años",104568,50829,53739,1.92215358846855,0.934331198342398,0.987822390126151,"Extranjeros"
"28 años",109190,53053,56137,2.00711451232577,0.975212439073349,1.03190207325242,"Extranjeros"
"29 años",110979,53732,57247,2.03999964706843,0.987693717156224,1.0523059299122,"Extranjeros"
"30 años",116720,56008,60712,2.14552986426105,1.0295308142352,1.11599905002584,"Extranjeros"
"31 años",119365,56790,62575,2.19414986504044,1.04390542316128,1.15024444187915,"Extranjeros"
"32 años",122619,58221,64398,2.25396441420344,1.07020985458484,1.1837545596186,"Extranjeros"
"33 años",123380,58697,64683,2.26795300421974,1.07895961653984,1.18899338767989,"Extranjeros"
"34 años",123669,58474,65195,2.27326535969242,1.07486046335504,1.19840489633738,"Extranjeros"
"35 años",124365,59263,65102,2.28605912927369,1.08936374525105,1.19669538402264,"Extranjeros"
"36 años",125843,60579,65264,2.31322750778104,1.11355426359724,1.1996732441838,"Extranjeros"
"37 años",125232,60978,64254,2.30199619569173,1.12088862288305,1.18110757280868,"Extranjeros"
"38 años",128294,63580,64714,2.35828142910818,1.16871820399004,1.18956322511814,"Extranjeros"
"39 años",127199,63705,63494,2.3381533002411,1.17101593559587,1.16713736464523,"Extranjeros"
"40 años",128920,66120,62800,2.36978846899018,1.21540811022053,1.15438035876965,"Extranjeros"
"41 años",124135,63643,60492,2.28183130311896,1.16987626071938,1.11195504239958,"Extranjeros"
"42 años",121340,62938,58402,2.23045402441257,1.15691705446249,1.07353696995008,"Extranjeros"
"43 años",116842,61513,55329,2.14777245030834,1.13072291415601,1.01704953615233,"Extranjeros"
"44 años",111582,58847,52735,2.05108390433496,1.08171689446684,0.969367009868114,"Extranjeros"
"45 años",106148,56130,50018,1.95119691596626,1.03177340028249,0.919423515683765,"Extranjeros"
"46 años",101639,53658,47981,1.86831314148071,0.986333460045572,0.881979681435137,"Extranjeros"
"47 años",93547,49521,44026,1.71956718824561,0.910287734818979,0.809279453426635,"Extranjeros"
"48 años",90642,47740,42902,1.66616790572609,0.877549654899095,0.788618250827,"Extranjeros"
"49 años",84821,44143,40678,1.55916714030574,0.811430130209693,0.747737010096049,"Extranjeros"
"50 años",83599,43744,39855,1.53670451612713,0.804095770923879,0.732608745203255,"Extranjeros"
"51 años",78253,40424,37829,1.43843513080894,0.743068019473,0.695367111335942,"Extranjeros"
"52 años",76051,38823,37228,1.39795829084062,0.713638673065512,0.684319617775105,"Extranjeros"
"53 años",70246,35422,34824,1.29125163506581,0.651121991534054,0.640129643531757,"Extranjeros"
"54 años",62363,31623,30740,1.14634748907566,0.581289332569629,0.565058156506036,"Extranjeros"
"55 años",59042,29544,29498,1.08530135577194,0.543073460501442,0.542227895270496,"Extranjeros"
"56 años",57339,28436,28903,1.05399706037409,0.522706367547354,0.531290692826739,"Extranjeros"
"57 años",53607,26193,27414,0.985395985550393,0.481475871612316,0.503920113938077,"Extranjeros"
"58 años",50420,24642,25778,0.926813020528118,0.452965617847161,0.473847402680956,"Extranjeros"
"59 años",45586,22000,23586,0.837955143867409,0.404400762626311,0.433554381241099,"Extranjeros"
"60 años",45270,21871,23399,0.832146478367868,0.402029503609093,0.430116974758775,"Extranjeros"
"61 años",41474,19738,21736,0.762368964961983,0.362821011487187,0.399547953474795,"Extranjeros"
"62 años",39341,18692,20649,0.723160472840077,0.343593593409591,0.379566879430486,"Extranjeros"
"63 años",36819,17218,19601,0.676801439960825,0.316498742313628,0.360302697647196,"Extranjeros"
"64 años",34909,16390,18519,0.641692101023722,0.301278568156602,0.340413532867121,"Extranjeros"
"65 años",32646,15156,17490,0.600093968031752,0.278595361743835,0.321498606287917,"Extranjeros"
"66 años",31131,14497,16634,0.572245460969077,0.266481720717892,0.305763740251184,"Extranjeros"
"67 años",29115,13546,15569,0.535187645630229,0.249000578660728,0.286187066969502,"Extranjeros"
"68 años",28013,13056,14957,0.51493084379322,0.239993470765869,0.274937373027351,"Extranjeros"
"69 años",25529,11989,13540,0.469270321322141,0.220380033778493,0.248890287543648,"Extranjeros"
"70 años",24971,11618,13353,0.45901324743371,0.213560366372385,0.245452881061324,"Extranjeros"
"71 años",22803,10541,12262,0.419161390462171,0.193763110856543,0.225398279605628,"Extranjeros"
"72 años",21808,10283,11525,0.400871446879754,0.189020592822107,0.211850854057647,"Extranjeros"
"73 años",21070,9925,11145,0.387305639478926,0.182439889503006,0.20486574997592,"Extranjeros"
"74 años",19011,8953,10058,0.349457404467673,0.164572728536062,0.184884675931611,"Extranjeros"
"75 años",15665,7417,8248,0.28795172484278,0.136338202563607,0.151613522279173,"Extranjeros"
"76 años",15520,7473,8047,0.285286356180016,0.137367586323019,0.147918769856997,"Extranjeros"
"77 años",13740,6650,7090,0.252566658112978,0.122239321430226,0.130327336682752,"Extranjeros"
"78 años",12390,5959,6431,0.22775115677,0.10953746111319,0.118213695656809,"Extranjeros"
"79 años",10715,5152,5563,0.19696155325186,0.0947033058659434,0.102258247385917,"Extranjeros"
"80 años",10154,4782,5372,0.186649333804889,0.0879020203126827,0.0987473134922065,"Extranjeros"
"81 años",8705,4177,4528,0.160014029030093,0.0767809993404591,0.0832330296896334,"Extranjeros"
"82 años",7484,3603,3881,0.137569786704332,0.0662298158064817,0.0713399708978506,"Extranjeros"
"83 años",6220,2934,3286,0.114335124706166,0.0539323562520726,0.0604027684540935,"Extranjeros"
"84 años",5357,2396,2961,0.0984715856995067,0.0440429194205746,0.0544286662789321,"Extranjeros"
"85 años",4308,1998,2310,0.0791890220633703,0.0367269419876077,0.0424620800757626,"Extranjeros"
"86 años",3517,1603,1914,0.0646489764616698,0.0294661101131807,0.0351828663484891,"Extranjeros"
"87 años",2915,1270,1645,0.0535831010479862,0.0233449531152461,0.0302381479327401,"Extranjeros"
"88 años",2471,1053,1418,0.0454215583840734,0.019356091047523,0.0260654673365504,"Extranjeros"
"89 años",1987,846,1141,0.0365247416062945,0.0155510475082663,0.0209736940980282,"Extranjeros"
"90 años",1750,692,1058,0.0321682424816384,0.0127202421698821,0.0194480003117562,"Extranjeros"
"91 años",1327,473,854,0.0243927187275052,0.00869461639646568,0.0156981023310395,"Extranjeros"
"92 años",991,375,616,0.0182164161710306,0.00689319481749394,0.0113232213535367,"Extranjeros"
"93 años",729,281,448,0.0134003707252082,0.00516530064990879,0.00823507007529942,"Extranjeros"
"94 años",567,200,367,0.0104225105640508,0.0036763705693301,0.00674613999472073,"Extranjeros"
"95 años",404,142,262,0.0074262685500468,0.00261022310422437,0.00481604544582243,"Extranjeros"
"96 años",300,91,209,0.00551455585399515,0.0016727486090452,0.00384180724494995,"Extranjeros"
"97 años",217,69,148,0.00398886206772316,0.00126834784641888,0.00272051422130427,"Extranjeros"
"98 años",159,49,110,0.00292271460261743,0.000900710789485874,0.00202200381313155,"Extranjeros"
"99 años",102,24,78,0.00187494899035835,0.000441164468319612,0.00143378452203874,"Extranjeros"
"100 años y más",170,51,119,0.00312491498393058,0.000937474495179175,0.00218744048875141,"Extranjeros"
